〇,ling
砈,e
砐,e
砨,e
硆,e
磀,e
蕚,e
蚅,e
蝁,e
覨,e
訛,e
誐,e
諤,e
譌,e
讍,e
豟,e
軛,e
軶,e
迗,e
遌,e
遻,e
鈋,e
鍔,e
鑩,e
頟,e
額,e
顎,e
餓,e
餩,e
騀,e
鰐,e
鱷,e
鵈,e
鵝,e
鵞,e
鶚,e
齶,e
恩,en
摁,en
蒽,en
奀,en
峎,en
鞥,eng
乻,er
欕,yan
二,er
饵,er
贰,er
洱,er
珥,er
鲕,er
鸸,er
迩,er
侕,er
刵,er
咡,er
峏,er
弍,er
弐,er
栭,er
栮,er
毦,er
洏,er
粫,er
胹,er
荋,er
薾,er
衈,er
袻,er
貮,er
貳,er
趰,er
輀,er
轜,er
邇,er
陑,er
隭,er
餌,er
駬,er
髵,er
鮞,er
鴯,er
法,fa
罚,fa
伐,fa
乏,fa
筏,fa
阀,fa
珐,fa
垡,fa
佱,fa
傠,fa
姂,fa
彂,fa
栰,fa
沷,fa
灋,fa
琺,fa
発,fa
瞂,fa
罰,fa
罸,fa
藅,fa
鍅,fa
閥,fa
髪,fa
髮,fa
反,fan
饭,fan
翻,fan
犯,fan
凡,fan
帆,fan
返,fan
烦,fan
贩,fan
范,fan
樊,fan
藩,fan
矾,fan
钒,fan
蘩,fan
畈,fan
蹯,fan
梵,fan
幡,fan
仮,fan
凢,fan
凣,fan
勫,fan
匥,fan
墦,fan
奿,fan
嬏,fan
忛,fan
憣,fan
旙,fan
旛,fan
杋,fan
柉,fan
棥,fan
橎,fan
氾,fan
滼,fan
瀪,fan
瀿,fan
煩,fan
璠,fan
盕,fan
礬,fan
笲,fan
笵,fan
範,fan
籵,fan
緐,fan
繙,fan
羳,fan
舤,fan
舧,fan
薠,fan
蠜,fan
訉,fan
販,fan
軬,fan
轓,fan
釩,fan
鐇,fan
颿,fan
飜,fan
飯,fan
飰,fan
鱕,fan
鷭,fan
放,fang
防,fang
芳,fang
访,fang
坊,fang
妨,fang
肪,fang
钫,fang
邡,fang
舫,fang
鲂,fang
倣,fang
匚,fang
堏,fang
旊,fang
昉,fang
昘,fang
淓,fang
牥,fang
瓬,fang
眆,fang
訪,fang
鈁,fang
錺,fang
魴,fang
鴋,fang
鶭,fang
非,fei
飞,fei
肥,fei
废,fei
吠,fei
菲,fei
诽,fei
篚,fei
腓,fei
扉,fei
斐,fei
狒,fei
悱,fei
镄,fei
霏,fei
翡,fei
榧,fei
淝,fei
鲱,fei
绯,fei
痱,fei
俷,fei
剕,fei
厞,fei
奜,fei
婓,fei
婔,fei
屝,fei
廃,fei
昲,fei
暃,fei
曊,fei
棐,fei
櫠,fei
渄,fei
濷,fei
猆,fei
疿,fei
癈,fei
緋,fei
蕜,fei
蜰,fei
誹,fei
鐨,fei
靅,fei
靟,fei
飛,fei
飝,fei
餥,fei
馡,fei
騑,fei
騛,fei
鯡,fei
鼣,fei
芬,fen
粉,fen
坟,fen
愤,fen
纷,fen
忿,fen
粪,fen
酚,fen
焚,fen
氛,fen
棼,fen
瀵,fen
鲼,fen
偾,fen
鼢,fen
僨,fen
墳,fen
奮,fen
妢,fen
帉,fen
幩,fen
弅,fen
憤,fen
昐,fen
朆,fen
枌,fen
梤,fen
棻,fen
燓,fen
瞓,fen
秎,fen
竕,fen
糞,fen
紛,fen
羒,fen
羵,fen
翂,fen
膹,fen
蒶,fen
蚠,fen
蚡,fen
豮,fen
豶,fen
躮,fen
轒,fen
鈖,fen
隫,fen
雰,fen
餴,fen
饙,fen
馚,fen
馩,fen
魵,fen
鱝,fen
黂,fen
黺,fen
鼖,fen
风,feng
缝,feng
蜂,feng
丰,feng
枫,feng
疯,feng
奉,feng
讽,feng
凤,feng
峰,feng
锋,feng
烽,feng
砜,feng
酆,feng
葑,feng
沣,feng
仹,feng
偑,feng
僼,feng
凨,feng
凬,feng
凮,feng
堸,feng
妦,feng
寷,feng
峯,feng
崶,feng
桻,feng
檒,feng
沨,feng
湗,feng
灃,feng
焨,feng
煈,feng
犎,feng
猦,feng
琒,feng
瘋,feng
盽,feng
碸,feng
篈,feng
綘,feng
縫,feng
艂,feng
諷,feng
豐,feng
賵,feng
赗,feng
鄷,feng
鋒,feng
鎽,feng
鏠,feng
靊,feng
風,feng
飌,feng
鳯,feng
鳳,feng
鴌,feng
麷,feng
瓰,fenwa
覅,fiao
仏,fo
坲,fo
梻,fo
缶,fou
紑,fou
缹,fou
缻,fou
雬,fou
鴀,fou
浮,fu
富,fu
福,fu
负,fu
伏,fu
付,fu
俯,fu
斧,fu
赴,fu
缚,fu
夫,fu
父,fu
符,fu
孵,fu
敷,fu
赋,fu
辅,fu
腐,fu
腹,fu
妇,fu
覆,fu
辐,fu
氟,fu
俘,fu
傅,fu
讣,fu
弗,fu
袱,fu
釜,fu
腑,fu
阜,fu
咐,fu
黼,fu
趺,fu
跗,fu
蚨,fu
幞,fu
茯,fu
滏,fu
蜉,fu
菔,fu
蝠,fu
鳆,fu
蝮,fu
绂,fu
赙,fu
罘,fu
稃,fu
匐,fu
麸,fu
凫,fu
桴,fu
孚,fu
驸,fu
呋,fu
郛,fu
芙,fu
黻,fu
乀,fu
伕,fu
俌,fu
偩,fu
冨,fu
刜,fu
咈,fu
哹,fu
坿,fu
垘,fu
姇,fu
娐,fu
婦,fu
媍,fu
岪,fu
弣,fu
彿,fu
復,fu
怤,fu
懯,fu
旉,fu
枎,fu
柎,fu
柫,fu
栿,fu
椨,fu
椱,fu
泭,fu
洑,fu
澓,fu
炥,fu
焤,fu
玞,fu
玸,fu
琈,fu
甶,fu
畉,fu
癁,fu
盙,fu
砆,fu
祔,fu
禣,fu
稪,fu
竎,fu
筟,fu
箙,fu
簠,fu
粰,fu
糐,fu
紨,fu
紱,fu
絥,fu
綍,fu
綒,fu
緮,fu
縛,fu
罦,fu
翇,fu
艀,fu
荂,fu
荴,fu
葍,fu
蕧,fu
虙,fu
蚥,fu
蚹,fu
蛗,fu
蝜,fu
衭,fu
袝,fu
複,fu
褔,fu
覄,fu
訃,fu
詂,fu
諨,fu
負,fu
賦,fu
賻,fu
輔,fu
輻,fu
邞,fu
郙,fu
酜,fu
釡,fu
鈇,fu
鉘,fu
鉜,fu
鍑,fu
鍢,fu
阝,fu
韍,fu
韨,fu
颫,fu
駙,fu
鮄,fu
鮒,fu
鮲,fu
鰒,fu
鳧,fu
鳬,fu
鴔,fu
鵩,fu
麩,fu
麬,fu
麱,fu
猤,gui
嘎,ga
尬,ga
尕,ga
尜,ga
嘠,ga
玍,ga
錷,ga
魀,ga
该,gai
改,gai
钙,gai
戤,gai
垓,gai
丐,gai
陔,gai
赅,gai
乢,gai
匃,gai
匄,gai
姟,gai
峐,gai
忋,gai
晐,gai
槩,gai
槪,gai
漑,gai
瓂,gai
畡,gai
祴,gai
荄,gai
葢,gai
該,gai
豥,gai
賅,gai
賌,gai
鈣,gai
敢,gan
竿,gan
肝,gan
杆,gan
秆,gan
疳,gan
苷,gan
擀,gan
绀,gan
橄,gan
尴,gan
坩,gan
倝,gan
凎,gan
凲,gan
尲,gan
尶,gan
尷,gan
幹,gan
檊,gan
漧,gan
灨,gan
玕,gan
皯,gan
盰,gan
稈,gan
筸,gan
簳,gan
粓,gan
紺,gan
芉,gan
衦,gan
詌,gan
趕,gan
迀,gan
骭,gan
魐,gan
鱤,gan
鳡,gan
刚,gang
钢,gang
纲,gang
缸,gang
岗,gang
冈,gang
肛,gang
筻,gang
罡,gang
冮,gang
剛,gang
堈,gang
堽,gang
岡,gang
掆,gang
棡,gang
槓,gang
焵,gang
牨,gang
犅,gang
疘,gang
綱,gang
罁,gang
釭,gang
鋼,gang
鎠,gang
高,gao
稿,gao
膏,gao
篙,gao
羔,gao
糕,gao
郜,gao
诰,gao
杲,gao
缟,gao
槔,gao
锆,gao
藁,gao
勂,gao
吿,gao
夰,gao
峼,gao
槹,gao
橰,gao
檺,gao
櫜,gao
祮,gao
祰,gao
禞,gao
稁,gao
筶,gao
縞,gao
菒,gao
誥,gao
鋯,gao
韟,gao
餻,gao
髙,gao
鷎,gao
鷱,gao
鼛,gao
各,ge
歌,ge
割,ge
哥,ge
搁,ge
阁,ge
葛,ge
戈,ge
鸽,ge
骼,ge
塥,ge
虼,ge
舸,ge
嗝,ge
膈,ge
搿,ge
個,ge
匌,ge
呄,ge
彁,ge
愅,ge
戓,ge
戨,ge
擱,ge
槅,ge
櫊,ge
滆,ge
滒,ge
箇,ge
臵,ge
觡,ge
諽,ge
謌,ge
轕,ge
鎶,ge
閣,ge
鞷,ge
韐,ge
韚,ge
騔,ge
鮯,ge
鴚,ge
鴿,ge
跟,gen
根,gen
揯,gen
搄,gen
更,geng
耕,geng
梗,geng
耿,geng
庚,geng
埂,geng
赓,geng
鲠,geng
刯,geng
堩,geng
峺,geng
挭,geng
椩,geng
浭,geng
焿,geng
畊,geng
絚,geng
緪,geng
縆,geng
莄,geng
菮,geng
賡,geng
郠,geng
骾,geng
鯁,geng
鶊,geng
鹒,geng
嚿,huo
啹,ju
喼,jie
嗰,ge
工,gong
公,gong
功,gong
共,gong
弓,gong
攻,gong
宫,gong
供,gong
恭,gong
贡,gong
躬,gong
巩,gong
汞,gong
龚,gong
肱,gong
觥,gong
珙,gong
匑,gong
匔,gong
塨,gong
宮,gong
幊,gong
廾,gong
拲,gong
杛,gong
栱,gong
熕,gong
碽,gong
糼,gong
觵,gong
貢,gong
躳,gong
輁,gong
鞏,gong
髸,gong
龔,gong
兝,gongfen
兣,gongli
够,gou
沟,gou
狗,gou
钩,gou
勾,gou
购,gou
构,gou
苟,gou
垢,gou
岣,gou
鞲,gou
觏,gou
缑,gou
笱,gou
遘,gou
媾,gou
篝,gou
冓,gou
坸,gou
夠,gou
搆,gou
撀,gou
煹,gou
玽,gou
簼,gou
緱,gou
耇,gou
耈,gou
耉,gou
袧,gou
褠,gou
覯,gou
訽,gou
豿,gou
購,gou
鈎,gou
雊,gou
韝,gou
股,gu
鼓,gu
故,gu
孤,gu
箍,gu
姑,gu
顾,gu
固,gu
估,gu
咕,gu
骨,gu
辜,gu
沽,gu
蛊,gu
菇,gu
梏,gu
鸪,gu
轱,gu
崮,gu
菰,gu
臌,gu
酤,gu
鲴,gu
诂,gu
牯,gu
瞽,gu
毂,gu
锢,gu
牿,gu
痼,gu
觚,gu
蛄,gu
罟,gu
傦,gu
凅,gu
唂,gu
唃,gu
啒,gu
堌,gu
嫴,gu
尳,gu
崓,gu
愲,gu
柧,gu
棝,gu
榖,gu
榾,gu
橭,gu
泒,gu
濲,gu
瀔,gu
皷,gu
盬,gu
祻,gu
稒,gu
笟,gu
箛,gu
篐,gu
罛,gu
羖,gu
脵,gu
蓇,gu
薣,gu
詁,gu
軱,gu
軲,gu
轂,gu
逧,gu
錮,gu
顧,gu
餶,gu
馉,gu
鮕,gu
鯝,gu
鴣,gu
鼔,gu
挂,gua
刮,gua
瓜,gua
寡,gua
剐,gua
褂,gua
卦,gua
鸹,gua
诖,gua
冎,gua
剮,gua
劀,gua
叧,gua
啩,gua
坬,gua
掛,gua
歄,gua
煱,gua
罣,gua
詿,gua
颪,gua
騧,gua
鴰,gua
怪,guai
拐,guai
乖,guai
恠,guai
枴,guai
柺,guai
管,guan
官,guan
观,guan
馆,guan
惯,guan
罐,guan
冠,guan
棺,guan
盥,guan
掼,guan
涫,guan
倌,guan
悹,guan
悺,guan
慣,guan
摜,guan
樌,guan
泴,guan
爟,guan
瓘,guan
痯,guan
瘝,guan
癏,guan
礶,guan
祼,guan
窤,guan
筦,guan
罆,guan
舘,guan
蒄,guan
覌,guan
観,guan
觀,guan
躀,guan
輨,guan
遦,guan
錧,guan
鏆,guan
鑵,guan
館,guan
鱞,guan
鱹,guan
鳤,guan
光,guang
犷,guang
胱,guang
俇,guang
僙,guang
垙,guang
姯,guang
広,guang
灮,guang
炗,guang
炚,guang
炛,guang
烡,guang
珖,guang
茪,guang
輄,guang
銧,guang
黆,guang
贵,gui
鬼,gui
跪,gui
轨,gui
桂,gui
诡,gui
闺,gui
瑰,gui
圭,gui
刽,gui
癸,gui
庋,gui
宄,gui
刿,gui
皈,gui
匦,gui
妫,gui
晷,gui
簋,gui
亀,gui
佹,gui
劊,gui
劌,gui
匭,gui
厬,gui
垝,gui
媯,gui
嬀,gui
帰,gui
庪,gui
摫,gui
撌,gui
攰,gui
攱,gui
椝,gui
椢,gui
槶,gui
槻,gui
槼,gui
櫷,gui
湀,gui
珪,gui
璝,gui
瓌,gui
瞡,gui
祪,gui
禬,gui
筀,gui
茥,gui
蓕,gui
蛫,gui
蟡,gui
觤,gui
詭,gui
貴,gui
軌,gui
邽,gui
郌,gui
閨,gui
陒,gui
鬶,gui
鱥,gui
滚,gun
辊,gun
鲧,gun
衮,gun
磙,gun
丨,gun
惃,gun
滾,gun
蓘,gun
蔉,gun
袞,gun
謴,gun
輥,gun
鮌,gun
鯀,gun
过,guo
国,guo
裹,guo
锅,guo
郭,guo
椁,guo
聒,guo
崞,guo
帼,guo
虢,guo
蝈,guo
啯,guo
嘓,guo
囯,guo
囶,guo
囻,guo
圀,guo
國,guo
墎,guo
幗,guo
彉,guo
彍,guo
惈,guo
慖,guo
槨,guo
漍,guo
瘑,guo
綶,guo
聝,guo
菓,guo
蔮,guo
褁,guo
鈛,guo
鍋,guo
鐹,guo
餜,guo
馃,guo
海,hai
氦,hai
孩,hai
骇,hai
醢,hai
嗐,hai
塰,hai
烸,hai
酼,hai
餀,hai
饚,hai
駭,hai
駴,hai
含,han
寒,han
汉,han
旱,han
酣,han
韩,han
焊,han
涵,han
函,han
憨,han
翰,han
罕,han
撼,han
悍,han
邯,han
邗,han
菡,han
瀚,han
蚶,han
焓,han
颔,han
晗,han
鼾,han
傼,han
兯,han
凾,han
哻,han
唅,han
圅,han
娢,han
崡,han
嵅,han
晘,han
暵,han
梒,han
浫,han
涆,han
澏,han
爳,han
猂,han
琀,han
甝,han
皔,han
睅,han
筨,han
莟,han
蔊,han
蛿,han
蜬,han
蜭,han
螒,han
谽,han
銲,han
鋎,han
鋡,han
雗,han
韓,han
頷,han
顄,han
馠,han
駻,han
魽,han
鶾,han
航,hang
绗,hang
垳,hang
斻,hang
笐,hang
筕,hang
絎,hang
苀,hang
蚢,hang
貥,hang
魧,hang
好,hao
嚎,hao
壕,hao
毫,hao
豪,hao
昊,hao
颢,hao
灏,hao
嚆,hao
嗥,hao
濠,hao
薅,hao
傐,hao
儫,hao
哠,hao
嘷,hao
噑,hao
恏,hao
昦,hao
晧,hao
暤,hao
暭,hao
曍,hao
椃,hao
淏,hao
灝,hao
獆,hao
皜,hao
皞,hao
皡,hao
皥,hao
竓,hao
籇,hao
聕,hao
薃,hao
號,hao
蠔,hao
譹,hao
顥,hao
鰝,hao
兞,haoke
河,he
禾,he
何,he
荷,he
贺,he
褐,he
鹤,he
涸,he
阖,he
壑,he
诃,he
哬,he
啝,he
垎,he
姀,he
寉,he
峆,he
惒,he
敆,he
柇,he
楁,he
渮,he
澕,he
煂,he
熆,he
爀,he
癋,he
皬,he
盇,he
盉,he
碋,he
篕,he
籺,he
粭,he
萂,he
蠚,he
覈,he
訶,he
訸,he
賀,he
鉌,he
鑉,he
闔,he
靍,he
靎,he
靏,he
鶴,he
鸖,he
鹖,he
麧,he
齕,he
龁,he
龢,he
黑,hei
潶,hei
黒,hei
冚,kan
很,hen
恨,hen
拫,hen
詪,hen
鞎,hen
恒,heng
衡,heng
蘅,heng
姮,heng
悙,heng
橫,heng
涥,heng
烆,heng
胻,heng
脝,heng
鑅,heng
鴴,heng
鵆,heng
鸻,heng
囍,xi
乊,ho
轰,hong
哄,hong
洪,hong
宏,hong
烘,hong
鸿,hong
弘,hong
讧,hong
蕻,hong
闳,hong
薨,hong
黉,hong
荭,hong
泓,hong
仜,hong
叿,hong
吰,hong
嚝,hong
垬,hong
妅,hong
娂,hong
宖,hong
彋,hong
撔,hong
晎,hong
汯,hong
浤,hong
潂,hong
灴,hong
焢,hong
玒,hong
玜,hong
硔,hong
硡,hong
竑,hong
竤,hong
篊,hong
粠,hong
紘,hong
紭,hong
綋,hong
纮,hong
翃,hong
翝,hong
耾,hong
苰,hong
葒,hong
葓,hong
訌,hong
谹,hong
谼,hong
軣,hong
輷,hong
轟,hong
鈜,hong
鉷,hong
鋐,hong
鍧,hong
閎,hong
霐,hong
霟,hong
鞃,hong
鴻,hong
黌,hong
后,hou
厚,hou
吼,hou
喉,hou
侯,hou
候,hou
猴,hou
鲎,hou
篌,hou
堠,hou
後,hou
逅,hou
糇,hou
骺,hou
瘊,hou
垕,hou
帿,hou
洉,hou
犼,hou
睺,hou
矦,hou
翭,hou
葔,hou
豞,hou
郈,hou
鄇,hou
鍭,hou
餱,hou
鮜,hou
鯸,hou
鱟,hou
鲘,hou
湖,hu
户,hu
虎,hu
壶,hu
互,hu
胡,hu
护,hu
糊,hu
弧,hu
忽,hu
狐,hu
蝴,hu
葫,hu
沪,hu
乎,hu
瑚,hu
鹕,hu
冱,hu
怙,hu
鹱,hu
戽,hu
扈,hu
祜,hu
醐,hu
琥,hu
囫,hu
烀,hu
轷,hu
煳,hu
斛,hu
猢,hu
惚,hu
岵,hu
滹,hu
觳,hu
唿,hu
槲,hu
乕,hu
匢,hu
匫,hu
喖,hu
嘑,hu
嘝,hu
垀,hu
壷,hu
壺,hu
婟,hu
媩,hu
嫭,hu
嫮,hu
寣,hu
帍,hu
弖,hu
戶,hu
戸,hu
昈,hu
昒,hu
曶,hu
楜,hu
槴,hu
歑,hu
沍,hu
泘,hu
淴,hu
滬,hu
瀫,hu
焀,hu
熩,hu
瓳,hu
箶,hu
簄,hu
粐,hu
絗,hu
綔,hu
縠,hu
苸,hu
萀,hu
蔛,hu
蔰,hu
虍,hu
虖,hu
虝,hu
螜,hu
衚,hu
護,hu
軤,hu
鄠,hu
錿,hu
鍙,hu
鍸,hu
雐,hu
雽,hu
頀,hu
頶,hu
餬,hu
鬍,hu
魱,hu
鯱,hu
鰗,hu
鱯,hu
鳠,hu
鳸,hu
鶘,hu
鶦,hu
鸌,hu
话,hua
花,hua
画,hua
华,hua
哗,hua
猾,hua
铧,hua
桦,hua
骅,hua
嘩,hua
埖,hua
婲,hua
婳,hua
嫿,hua
嬅,hua
崋,hua
摦,hua
撶,hua
杹,hua
椛,hua
槬,hua
樺,hua
澅,hua
畫,hua
畵,hua
硴,hua
糀,hua
繣,hua
蘤,hua
螖,hua
話,hua
誮,hua
諙,hua
錵,hua
鏵,hua
驊,hua
鷨,hua
黊,hua
淮,huai
槐,huai
踝,huai
壊,huai
懐,huai
懷,huai
耲,huai
蘹,huai
蘾,huai
褢,huai
褱,huai
换,huan
唤,huan
环,huan
患,huan
缓,huan
欢,huan
幻,huan
宦,huan
焕,huan
豢,huan
桓,huan
痪,huan
漶,huan
逭,huan
鲩,huan
鬟,huan
奂,huan
锾,huan
洹,huan
缳,huan
浣,huan
喚,huan
嚾,huan
堚,huan
奐,huan
寏,huan
峘,huan
嵈,huan
愌,huan
換,huan
攌,huan
梙,huan
槵,huan
歓,huan
歡,huan
渙,huan
烉,huan
煥,huan
瑍,huan
環,huan
瘓,huan
睆,huan
糫,huan
緩,huan
繯,huan
羦,huan
肒,huan
荁,huan
萈,huan
藧,huan
讙,huan
豲,huan
貆,huan
貛,huan
轘,huan
鍰,huan
闤,huan
阛,huan
雈,huan
驩,huan
鯇,huan
鯶,huan
鰀,huan
鴅,huan
鹮,huan
黄,huang
慌,huang
晃,huang
簧,huang
凰,huang
谎,huang
惶,huang
蝗,huang
煌,huang
幌,huang
隍,huang
肓,huang
篁,huang
徨,huang
鳇,huang
遑,huang
癀,huang
蟥,huang
璜,huang
偟,huang
兤,huang
喤,huang
堭,huang
塃,huang
墴,huang
奛,huang
媓,huang
宺,huang
崲,huang
巟,huang
怳,huang
愰,huang
晄,huang
曂,huang
楻,huang
榥,huang
滉,huang
炾,huang
熿,huang
獚,huang
瑝,huang
皝,huang
皩,huang
穔,huang
縨,huang
艎,huang
葟,huang
衁,huang
詤,huang
諻,huang
謊,huang
鍠,huang
鎤,huang
鐄,huang
锽,huang
餭,huang
騜,huang
鰉,huang
鱑,huang
鷬,huang
黃,huang
回,hui
灰,hui
汇,hui
辉,hui
毁,hui
悔,hui
惠,hui
晦,hui
徽,hui
恢,hui
秽,hui
慧,hui
贿,hui
蛔,hui
讳,hui
卉,hui
烩,hui
诲,hui
彗,hui
蕙,hui
恚,hui
晖,hui
麾,hui
诙,hui
蟪,hui
茴,hui
洄,hui
虺,hui
荟,hui
缋,hui
僡,hui
匯,hui
嘒,hui
噅,hui
噕,hui
嚖,hui
囘,hui
囬,hui
圚,hui
婎,hui
媈,hui
寭,hui
屷,hui
幑,hui
廻,hui
廽,hui
彙,hui
彚,hui
徻,hui
恛,hui
恵,hui
憓,hui
懳,hui
拻,hui
暉,hui
暳,hui
楎,hui
槥,hui
橞,hui
檅,hui
檓,hui
櫘,hui
毀,hui
毇,hui
泋,hui
洃,hui
滙,hui
潓,hui
瀈,hui
灳,hui
烣,hui
燬,hui
燴,hui
獩,hui
璤,hui
痐,hui
睳,hui
瞺,hui
禈,hui
穢,hui
篲,hui
繢,hui
翙,hui
翚,hui
翬,hui
翽,hui
蔧,hui
薈,hui
薉,hui
藱,hui
蛕,hui
蜖,hui
詯,hui
詼,hui
誨,hui
諱,hui
譓,hui
譭,hui
譿,hui
豗,hui
賄,hui
輝,hui
迴,hui
逥,hui
鐬,hui
闠,hui
阓,hui
靧,hui
頮,hui
顪,hui
餯,hui
鮰,hui
鰴,hui
昏,hun
婚,hun
魂,hun
阍,hun
溷,hun
诨,hun
俒,hun
倱,hun
忶,hun
慁,hun
掍,hun
昬,hun
棔,hun
涽,hun
焝,hun
睧,hun
睯,hun
觨,hun
諢,hun
閽,hun
鼲,hun
火,huo
伙,huo
货,huo
获,huo
祸,huo
惑,huo
镬,huo
耠,huo
锪,huo
钬,huo
夥,huo
佸,huo
俰,huo
剨,huo
吙,huo
咟,huo
奯,huo
旤,huo
曤,huo
沎,huo
湱,huo
瀖,huo
獲,huo
癨,huo
眓,huo
矐,huo
禍,huo
耯,huo
臛,huo
謋,huo
貨,huo
邩,huo
鈥,huo
鍃,huo
鑊,huo
騞,huo
夻,hua
遤,ma
几,ji
及,ji
急,ji
即,ji
鸡,ji
记,ji
级,ji
极,ji
计,ji
挤,ji
季,ji
寄,ji
纪,ji
基,ji
吉,ji
脊,ji
际,ji
汲,ji
肌,ji
嫉,ji
绩,ji
饥,ji
迹,ji
棘,ji
蓟,ji
冀,ji
辑,ji
剂,ji
悸,ji
寂,ji
忌,ji
妓,ji
继,ji
集,ji
击,ji
箕,ji
讥,ji
疾,ji
墼,ji
洎,ji
鲚,ji
屐,ji
齑,ji
戟,ji
嵇,ji
矶,ji
戢,ji
虮,ji
笈,ji
笄,ji
剞,ji
叽,ji
蒺,ji
跻,ji
嵴,ji
跽,ji
霁,ji
畿,ji
瘠,ji
玑,ji
羁,ji
芨,ji
佶,ji
赍,ji
楫,ji
髻,ji
觊,ji
麂,ji
骥,ji
殛,ji
岌,ji
乩,ji
芰,ji
丮,ji
亼,ji
偮,ji
僟,ji
兾,ji
刉,ji
刏,ji
剤,ji
劑,ji
勣,ji
卽,ji
叝,ji
喞,ji
嗘,ji
嘰,ji
坖,ji
垍,ji
塉,ji
妀,ji
姞,ji
嵆,ji
嶯,ji
幾,ji
廭,ji
彑,ji
彶,ji
徛,ji
忣,ji
惎,ji
愱,ji
懻,ji
揤,ji
撃,ji
撠,ji
擠,ji
旡,ji
旣,ji
暩,ji
枅,ji
梞,ji
極,ji
槉,ji
樭,ji
機,ji
橶,ji
檕,ji
檝,ji
檵,ji
櫅,ji
泲,ji
湒,ji
漃,ji
漈,ji
潗,ji
瀱,ji
犱,ji
璣,ji
痵,ji
癠,ji
癪,ji
皍,ji
磯,ji
禝,ji
稩,ji
穄,ji
穊,ji
積,ji
穖,ji
筓,ji
箿,ji
簊,ji
紀,ji
級,ji
継,ji
績,ji
繋,ji
繼,ji
罽,ji
羇,ji
羈,ji
耭,ji
膌,ji
臮,ji
艥,ji
茍,ji
葪,ji
蕀,ji
薊,ji
蘎,ji
蘮,ji
蘻,ji
虀,ji
螏,ji
裚,ji
襀,ji
襋,ji
覉,ji
覊,ji
覬,ji
觙,ji
計,ji
記,ji
誋,ji
諅,ji
譏,ji
譤,ji
谻,ji
賷,ji
跡,ji
蹐,ji
蹟,ji
躋,ji
躸,ji
輯,ji
轚,ji
郆,ji
銈,ji
銡,ji
錤,ji
鍓,ji
鏶,ji
鑇,ji
鑙,ji
際,ji
隮,ji
雞,ji
雧,ji
霵,ji
霽,ji
鞿,ji
韲,ji
飢,ji
驥,ji
魢,ji
鯚,ji
鰶,ji
鰿,ji
鱀,ji
鱭,ji
鱾,ji
鳮,ji
鵋,ji
鶏,ji
鶺,ji
鷄,ji
鷑,ji
鸄,ji
鹡,ji
齌,ji
齎,ji
齏,ji
加,jia
架,jia
甲,jia
佳,jia
嘉,jia
驾,jia
嫁,jia
枷,jia
荚,jia
颊,jia
稼,jia
铗,jia
戛,jia
镓,jia
痂,jia
岬,jia
跏,jia
胛,jia
笳,jia
郏,jia
袈,jia
蛱,jia
圿,jia
婽,jia
幏,jia
戞,jia
扴,jia
抸,jia
斚,jia
斝,jia
梜,jia
椵,jia
榎,jia
榢,jia
槚,jia
檟,jia
毠,jia
泇,jia
犌,jia
猳,jia
玾,jia
糘,jia
耞,jia
腵,jia
莢,jia
蛺,jia
豭,jia
貑,jia
郟,jia
鉫,jia
鋏,jia
鎵,jia
頬,jia
頰,jia
駕,jia
鴶,jia
鵊,jia
麚,jia
减,jian
尖,jian
间,jian
键,jian
贱,jian
兼,jian
建,jian
检,jian
箭,jian
煎,jian
简,jian
剪,jian
歼,jian
监,jian
坚,jian
健,jian
艰,jian
荐,jian
剑,jian
溅,jian
涧,jian
鉴,jian
践,jian
捡,jian
柬,jian
笺,jian
俭,jian
硷,jian
拣,jian
舰,jian
缄,jian
饯,jian
翦,jian
鞯,jian
戋,jian
牮,jian
枧,jian
缣,jian
戬,jian
毽,jian
鲣,jian
谫,jian
楗,jian
蹇,jian
裥,jian
踺,jian
睑,jian
謇,jian
蒹,jian
锏,jian
俴,jian
倹,jian
儉,jian
冿,jian
剣,jian
剱,jian
劍,jian
劎,jian
劒,jian
劔,jian
囏,jian
堅,jian
墹,jian
姦,jian
姧,jian
寋,jian
幵,jian
弿,jian
彅,jian
徤,jian
惤,jian
戩,jian
挸,jian
揀,jian
擶,jian
旔,jian
検,jian
樫,jian
檢,jian
殱,jian
殲,jian
減,jian
湕,jian
澗,jian
瀐,jian
瀸,jian
瀽,jian
熞,jian
熸,jian
牋,jian
珔,jian
瑊,jian
瑐,jian
睷,jian
瞷,jian
瞼,jian
磵,jian
礀,jian
礛,jian
箋,jian
篯,jian
簡,jian
籛,jian
糋,jian
絸,jian
緘,jian
縑,jian
繝,jian
繭,jian
臶,jian
艦,jian
艱,jian
菺,jian
葌,jian
蕑,jian
蕳,jian
薦,jian
藆,jian
虃,jian
蠒,jian
襇,jian
襉,jian
襺,jian
覸,jian
詃,jian
諓,jian
謭,jian
譾,jian
賎,jian
賤,jian
趝,jian
踐,jian
轞,jian
鋻,jian
鍳,jian
鍵,jian
鐗,jian
鐧,jian
鑑,jian
鑒,jian
鑬,jian
鑳,jian
間,jian
鞬,jian
韀,jian
韉,jian
餞,jian
馢,jian
鬋,jian
鰎,jian
鰹,jian
鵳,jian
鹸,jian
鹻,jian
鹼,jian
麉,jian
讲,jiang
江,jiang
奖,jiang
浆,jiang
僵,jiang
姜,jiang
酱,jiang
蒋,jiang
匠,jiang
桨,jiang
豇,jiang
礓,jiang
缰,jiang
